"NEE","Cleaned_NEE"
0.64897454,0.64897454
1.0233449,1.0233449
0.544442,0.544442
-1.3958348,-1.3958348
-1.1874104,-1.1874104
-1.4910415,-1.4910415
-1.1768813,-1.1768813
0.095905624,0.095905624
-0.7579254,-0.7579254
-1.1415423,-1.1415423
-0.6505268,-0.6505268
-1.2811254,-1.2811254
0.47840583,0.47840583
-0.32690498,-0.32690498
0.032286014,0.032286014
-0.7855039,-0.7855039
0.2574899,0.2574899
0.15423667,0.15423667
0.056948833,0.056948833
-0.68102974,-0.68102974
-0.21793029,-0.21793029
-0.39411354,-0.39411354
-0.87451935,-0.87451935
-0.18532953,-0.18532953
-0.44731376,-0.44731376
0.42081198,0.42081198
0.03923641,0.03923641
0.68030894,0.68030894
-0.12773454,-0.12773454
1.3645909,1.3645909
0.2708235,0.2708235
-0.64547116,-0.64547116
-0.0036023455,-0.0036023455
1.0612719,1.0612719
-1.3014065,-1.3014065
-1.0100796,-1.0100796
-0.39627337,-0.39627337
0.16520362,0.16520362
-0.72629446,-0.72629446
-0.40259138,-0.40259138
0.6654442,0.6654442
0.0073129055,0.0073129055
-1.1382538,-1.1382538
-1.2102453,-1.2102453
-0.30590355,-0.30590355
-0.58621204,-0.58621204
0.35519817,0.35519817
1.0386118,1.0386118
0.9064947,0.9064947
0.72542447,0.72542447
-0.21754451,-0.21754451
-0.5396713,-0.5396713
0.15399633,0.15399633
-0.8246156,-0.8246156
1.516831,1.516831
1.1834297,1.1834297
1.902007,1.902007
0.6371175,0.6371175
0.26981348,0.26981348
-0.8587236,-0.8587236
-0.41569796,-0.41569796
-0.6024718,-0.6024718
1.1302799,1.1302799
-0.4687445,-0.4687445
-0.41249943,-0.41249943
0.28354174,0.28354174
1.0900846,1.0900846
0.3133255,0.3133255
0.9505831,0.9505831
-0.25963745,-0.25963745
-0.41976303,-0.41976303
0.03315483,0.03315483
1.2143605,1.2143605
0.52805936,0.52805936
-0.1855845,-0.1855845
-0.43519348,-0.43519348
-1.3015478,-1.3015478
-1.0447901,-1.0447901
-1.1522791,-1.1522791
-0.67740715,-0.67740715
-0.3754807,-0.3754807
