,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,LSTMPlus,41301,0.4158379137516022,0.5167285799980164,0.907162070274353,1.1295626163482666,1,50
1,LSTMPlus,41301,0.3206394612789154,0.45844653248786926,0.8384010791778564,1.0509146451950073,2,100
2,LSTMPlus,41301,0.21451131999492645,0.44549793004989624,0.8006943464279175,1.0945260524749756,13,200
3,LSTMPlus,41301,0.3254930377006531,0.4278954565525055,0.8005095720291138,1.0092788934707642,3,150
4,LSTMPlus,41301,0.25068458914756775,0.4217841327190399,0.7747925519943237,1.0536404848098755,10,150
5,LSTMPlus,41301,0.2975899875164032,0.4202945828437805,0.7909722328186035,0.9992056488990784,3,200
6,LSTMPlus,41301,0.28553837537765503,0.3967388868331909,0.7388476133346558,1.0206838846206665,7,100
7,LSTMPlus,41301,0.3032779097557068,0.3796302080154419,0.732218325138092,0.9785877466201782,4,50
8,LSTMPlus,41301,0.26666948199272156,0.33491966128349304,0.6726951599121094,0.8815190196037292,8,200
9,LSTMPlus,41301,0.2760566473007202,0.32781508564949036,0.6637851595878601,0.872774600982666,6,150
10,LSTMPlus,41301,0.29666605591773987,0.3208220303058624,0.6560059189796448,0.8653560280799866,2,50
11,LSTMPlus,41301,0.28809598088264465,0.31861793994903564,0.650825560092926,0.8596675992012024,4,100
